user_id,minutes_viewed,ml_ouput
25769803873,2,
25769803875,581,
25769803876,45,
25769803877,318,
25769803878,4,
25769803879,83,
25769803880,350,
25769803881,14,
25769803882,88,
25769803883,39,
25769803885,158,
25769803886,3774,
25769803887,35,
25769803888,20,
25769803889,195,
25769803891,0,
25769803892,364,
25769803893,0,
25769803896,39,
25769803898,428,
25769803900,0,
25769803903,0,
25769803904,6,
25769803905,23,
25769803906,88,
25769803907,126,
25769803909,6,
25769803912,58,
25769803916,1208,
25769803917,13,
25769803918,624,
25769803921,18,
25769803922,148,
25769803923,27,
25769803924,1,
25769803927,801,
25769803928,15,
25769803929,1,
25769803930,74,
25769803931,191,
25769803932,0,
25769803933,72,
25769803934,18,
25769803935,133,
25769803936,1,
25769803937,4,
25769803938,198,
25769803939,1,
25769803940,2,
25769803941,198,
25769803943,3,
25769803944,13,
25769803945,155,
25769803946,5,
25769803947,0,
25769803948,12,
25769803949,2,
25769803951,1023,
25769803952,75,
25769803953,26,
25769803954,181,
25769803956,1188,
25769803957,486,
25769803958,253,
25769803959,396,
25769803960,0,
25769803962,228,
25769803964,125,
25769803965,3,
25769803966,125,
25769803968,149,
25769803969,1797,
25769803970,24,
25769803971,176,
25769803972,4,
25769803973,113,
25769803975,152,
25769803976,783,
25769803978,1264,
25769803980,0,
25769803981,189,
25769803982,2,
25769803983,1,
25769803984,22,
25769803985,484,
25769803986,4,
25769803988,1,
25769803989,1,
25769803990,51,
25769803991,279,
25769803993,609,
25769803994,613,
25769803995,1083,
25769803996,4,
25769803997,1,
25769803998,56,
25769804000,201,
25769804001,16,
25769804002,1391,
25769804003,184,
25769804004,0,
25769804005,588,
25769804006,10,
25769804007,98,
25769804008,32,
25769804009,1469,
25769804010,118,
25769804011,0,
25769804012,54,
25769804013,7,
25769804014,371,
25769804015,8,
25769804016,349,
25769804017,136,
25769804018,3,
25769804019,2086,
25769804020,5,
25769804021,18,
25769804023,46,
25769804024,33,
25769804025,1,
25769804026,201,
25769804027,7,
25769804028,8,
25769804029,656,
25769804033,2,
25769804034,1,
25769804035,2206,
25769804036,323,
25769804037,51,
25769804038,243,
25769804039,6,
25769804041,9645,
25769804042,7,
25769804043,50,
25769804044,103,
25769804045,29,
25769804046,12,
25769804047,117,
25769804048,312,
25769804049,630,
25769804050,15,
25769804051,68,
25769804053,6,
25769804054,26,
25769804055,27,
25769804056,6,
25769804058,0,
25769804059,633,
25769804060,4,
25769804062,17,
25769804063,36,
25769804064,2,
25769804068,663,
25769804069,103,
25769804070,93,
25769804071,225,
25769804072,0,
25769804073,342,
25769804074,1,
25769804075,5,
25769804077,42,
25769804078,47,
25769804079,5,
25769804080,17,
25769804081,115,
25769804082,3,
25769804083,0,
25769804084,0,
25769804089,72,
25769804090,1013,
25769804091,28,
25769804092,84,
25769804093,2,
25769804094,131,
25769804095,0,
25769804096,1915,
25769804097,1009,
25769804098,918,
25769804099,9,
25769804100,720,
25769804101,7,
25769804102,36,
25769804103,18,
25769804104,0,
25769804105,1,
25769804106,494,
25769804107,1,
25769804108,186,
25769804109,0,
25769804110,7,
25769804112,0,
25769804113,7,
25769804115,0,
25769804116,8,
25769804117,710,
25769804118,1,
25769804119,110,
25769804120,1,
25769804121,0,
25769804124,7,
25769804126,5,
25769804127,504,
25769804128,4,
25769804129,1,
25769804130,57,
25769804132,1070,
25769804134,0,
25769804135,112,
25769804136,3,
25769804137,149,
25769804138,95,
25769804139,25,
25769804140,3,
25769804141,13,
25769804142,19,
25769804143,76,
25769804145,117,
25769804147,196,
25769804148,15,
25769804149,37,
25769804151,64,
25769804153,57,
25769804154,0,
25769804155,0,
25769804156,240,
25769804157,219,
25769804158,4,
25769804159,23,
25769804160,13,
25769804161,132,
25769804162,336,
25769804163,107,
25769804165,10,
25769804166,86,
25769804168,348,
25769804169,1,
25769804170,0,
25769804173,243,
25769804174,134,
25769804175,758,
25769804176,3,
25769804177,0,
25769804178,145,
25769804179,230,
25769804180,270,
25769804181,7,
25769804182,2,
25769804183,301,
25769804184,0,
25769804185,48,
25769804186,6,
25769804187,2577,
25769804188,514,
25769804189,81,
25769804190,3,
25769804191,261,
25769804192,323,
25769804193,29,
25769804194,0,
25769804195,68,
25769804196,0,
25769804197,49,
25769804198,1,
25769804199,5335,
25769804200,86,
25769804202,185,
25769804204,4,
25769804205,283,
25769804206,0,
25769804207,5,
25769804208,11,
25769804209,10,
25769804210,415,
25769804211,128,
25769804213,0,
25769804214,247,
25769804215,0,
25769804217,58,
25769804219,19,
25769804220,3,
25769804221,272,
25769804222,75,
25769804223,162,
25769804224,1084,
25769804225,2,
25769804226,160,
25769804227,8,
25769804229,3,
25769804230,507,
25769804231,34,
25769804232,205,
25769804233,58,
25769804234,118,
25769804235,4,
25769804236,2,
25769804237,1047,
25769804238,0,
25769804239,6,
25769804240,1,
25769804241,2,
25769804242,49,
25769804243,107,
25769804244,1,
25769804245,8,
25769804246,20,
25769804247,12,
25769804248,6,
25769804250,170,
25769804251,11,
25769804253,270,
25769804254,7,
25769804255,1,
25769804256,9,
25769804257,44,
25769804258,1,
25769804259,690,
