,user_id,gender,income_level,age
842,68719477272,Male,Low,18 - 24
844,68719477287,Male,High,25 - 34
845,68719477298,Male,Low,35 - 44
846,68719477316,Female,Low,< 18
847,77309411361,Male,Low,18 - 24
851,77309411368,Male,Low,35 - 44
853,77309411370,Male,High,< 18
855,77309411374,Male,High,25 - 34
856,77309411376,Male,Low,25 - 34
862,77309411391,Female,Medium,18 - 24
863,77309411394,Female,Low,18 - 24
864,77309411396,Male,High,25 - 34
865,77309411397,Female,Low,25 - 34
869,77309411405,Male,Low,18 - 24
870,77309411406,Female,High,25 - 34
871,77309411410,Male,Low,25 - 34
874,77309411415,Male,Medium,25 - 34
878,77309411419,Female,Medium,25 - 34
880,77309411421,Male,Medium,25 - 34
881,77309411428,Male,Medium,25 - 34
883,77309411431,Female,Medium,18 - 24
884,77309411432,Female,Low,18 - 24
886,77309411438,Female,High,25 - 34
887,77309411440,Female,Low,35 - 44
890,77309411444,Female,Low,25 - 34
892,77309411446,Male,Low,< 18
894,77309411448,Female,Medium,25 - 34
896,77309411450,Female,High,< 18
897,77309411452,Female,Low,25 - 34
898,77309411455,Female,Medium,< 18
899,77309411456,Female,High,18 - 24
901,77309411462,Female,Medium,25 - 34
902,77309411464,Male,Low,25 - 34
903,77309411465,Male,High,< 18
904,77309411470,Male,High,35 - 44
905,77309411473,Female,Medium,18 - 24
906,77309411474,Male,Medium,35 - 44
911,77309411493,Female,Medium,18 - 24
912,77309411496,Female,Medium,35 - 44
916,77309411507,Female,High,< 18
918,77309411511,Female,Low,25 - 34
920,77309411513,Female,Low,18 - 24
921,77309411516,Female,Low,25 - 34
922,77309411518,Male,Medium,25 - 34
924,77309411522,Female,Low,18 - 24
925,77309411525,Female,Medium,< 18
929,77309411549,Male,Low,35 - 44
930,77309411557,Female,Low,25 - 34
931,77309411565,Female,High,25 - 34
934,77309411599,Female,Low,< 18
935,77309411618,Female,Medium,18 - 24
937,77309411627,Male,Low,25 - 34
938,77309411639,Female,Low,25 - 34
939,77309411682,Male,Low,25 - 34
941,77309411693,Male,High,18 - 24
942,77309411709,Male,Low,18 - 24
943,77309411727,Male,Low,25 - 34
944,77309411748,Female,Medium,< 18
945,77309411772,Female,Low,25 - 34
946,77309411779,Male,Medium,25 - 34
947,77309411834,Female,Medium,25 - 34
948,77309411849,Male,Low,18 - 24
950,77309411881,Male,Low,18 - 24
956,85899345963,Female,Medium,25 - 34
958,85899345967,Female,Low,18 - 24
959,85899345969,Male,Low,25 - 34
960,85899345971,Female,Medium,25 - 34
966,85899345985,Female,Low,25 - 34
967,85899345986,Female,Low,18 - 24
969,85899345988,Male,Low,18 - 24
970,85899345989,Female,Low,25 - 34
971,85899345990,Female,Medium,< 18
972,85899345991,Female,High,35 - 44
973,85899345993,Female,High,25 - 34
974,85899345994,Female,Medium,25 - 34
976,85899345997,Female,Medium,45 - 54
978,85899346000,Male,Low,18 - 24
980,85899346002,Female,Medium,18 - 24
985,85899346012,Male,Medium,25 - 34
986,85899346013,Male,Low,25 - 34
987,85899346014,Female,Low,25 - 34
988,85899346018,Female,Low,18 - 24
989,85899346024,Male,Medium,25 - 34
990,85899346025,Female,Low,25 - 34
991,85899346026,Female,Low,25 - 34
993,85899346030,Male,Low,18 - 24
997,85899346042,Female,Medium,25 - 34
998,85899346043,Female,Low,25 - 34
999,85899346044,Female,Medium,18 - 24
1002,85899346058,Female,Medium,18 - 24
1003,85899346060,Male,Medium,25 - 34
1005,85899346063,Male,Low,25 - 34
1007,85899346067,Female,Medium,18 - 24
1009,85899346070,Male,High,25 - 34
1010,85899346073,Female,Medium,25 - 34
1012,85899346082,Male,Low,25 - 34
1013,85899346087,Male,Low,18 - 24
1015,85899346091,Male,Low,25 - 34
1017,85899346099,Female,Medium,25 - 34
1018,85899346101,Male,Low,< 18
1019,85899346103,Female,Medium,18 - 24
1021,85899346114,Male,Low,25 - 34
1023,85899346120,Male,Medium,25 - 34
1024,85899346127,Male,Medium,18 - 24
1025,85899346137,Male,Medium,25 - 34
1026,85899346159,Female,Low,18 - 24
1027,85899346194,Female,Medium,25 - 34
1029,85899346222,Female,Medium,25 - 34
1030,85899346246,Male,Medium,25 - 34
1031,85899346249,Male,Low,18 - 24
1032,85899346255,Male,Medium,35 - 44
1034,85899346292,Male,Low,25 - 34
1035,85899346295,Female,Low,< 18
1036,85899346325,Female,Medium,25 - 34
1038,85899346359,Female,Medium,18 - 24
1039,85899346361,Male,Low,25 - 34
1041,85899346373,Male,Low,18 - 24
1042,85899346394,Female,Low,25 - 34
1043,85899346407,Male,Medium,25 - 34
1044,85899346412,Male,Low,< 18
1045,85899346415,Male,Medium,18 - 24
1046,85899346417,Female,Medium,18 - 24
1047,85899346439,Male,Medium,< 18
1048,85899346481,Female,Medium,18 - 24
1053,94489280551,Male,Medium,18 - 24
1056,94489280558,Male,Medium,18 - 24
1059,94489280565,Male,Low,25 - 34
1060,94489280566,Male,High,18 - 24
1061,94489280567,Female,High,18 - 24
1062,94489280569,Female,Medium,< 18
1064,94489280575,Female,Medium,25 - 34
1065,94489280577,Female,High,25 - 34
1066,94489280581,Male,Medium,25 - 34
1067,94489280583,Male,Low,25 - 34
1070,94489280586,Female,Low,25 - 34
1071,94489280588,Male,High,45 - 54
1076,94489280597,Male,Low,25 - 34
1077,94489280602,Female,Low,25 - 34
1079,94489280604,Male,Low,25 - 34
1080,94489280605,Female,Low,25 - 34
1081,94489280610,Male,Low,35 - 44
1084,94489280613,Female,Low,25 - 34
1085,94489280614,Female,Low,45 - 54
1086,94489280617,Male,Medium,35 - 44
1087,94489280619,Female,High,18 - 24
1088,94489280620,Male,Medium,18 - 24
1090,94489280630,Male,Medium,35 - 44
1092,94489280636,Male,Low,25 - 34
1093,94489280639,Male,Low,25 - 34
1096,94489280646,Male,Low,25 - 34
1097,94489280651,Female,Low,18 - 24
1101,94489280666,Male,Low,25 - 34
1102,94489280670,Male,Low,25 - 34
1105,94489280682,Female,Medium,18 - 24
1106,94489280686,Female,Low,25 - 34
1109,94489280697,Male,Low,35 - 44
1111,94489280701,Male,Low,18 - 24
1113,94489280706,Female,Low,18 - 24
1115,94489280709,Male,Low,25 - 34
1116,94489280711,Female,Medium,< 18
1117,94489280713,Male,Low,18 - 24
1118,94489280715,Female,Medium,< 18
1119,94489280716,Female,Low,18 - 24
1120,94489280718,Male,Medium,18 - 24
1121,94489280744,Male,Low,25 - 34
1122,94489280750,Female,Medium,< 18
1123,94489280769,Female,Low,18 - 24
1124,94489280776,Male,Low,35 - 44
1125,94489280800,Male,Low,25 - 34
1126,94489280844,Male,Low,25 - 34
1127,94489280852,Male,Low,18 - 24
1128,94489280855,Male,High,18 - 24
1129,94489280858,Male,Low,18 - 24
1130,94489280864,Male,High,25 - 34
1133,94489280883,Female,High,25 - 34
1136,94489280931,Female,Low,< 18
